Year,Week,Movie,Viewers
2024,1,"Rafadan Tayfa 4: Hayrimatör
 29 Aralık 2023",658
2024,1,"Mutluyuz
 29 Aralık 2023",307
2024,1,"Nefes - Yer Eksi İki
 15 Aralık 2023",280
2024,1,"Ölümlü Dünya 2
 1 Aralık 2023",267
2024,1,"Aquaman ve Kayıp Krallık
 22 Aralık 2023",459
2024,1,"Wonka
 15 Aralık 2023",191
2024,1,"Murat Göğebakan: Kalbim Yaralı
 8 Aralık 2023",216
2024,1,"Karanlık Ruhlar
 29 Aralık 2023",99
2024,1,"İçimdeki Şeytan
 29 Aralık 2023",116
2024,1,"Nasreddin Hoca 2: Dinozorlar Çağı
 1 Aralık 2023",82
2024,2,"Rafadan Tayfa 4: Hayrimatör
 29 Aralık 2023",574
2024,2,"Atatürk 1881 - 1919 (2. Film)
 5 Ocak 2024",686
2024,2,"Mutluyuz
 29 Aralık 2023",303
2024,2,"Nefes - Yer Eksi İki
 15 Aralık 2023",218
2024,2,"Ölümlü Dünya 2
 1 Aralık 2023",171
2024,2,"Aquaman ve Kayıp Krallık
 22 Aralık 2023",200
2024,2,"Başkan
 5 Ocak 2024",182
2024,2,"Demon: Azab-ül Kem
 5 Ocak 2024",125
2024,2,"Wonka
 15 Aralık 2023",78
2024,2,"Murat Göğebakan: Kalbim Yaralı
 8 Aralık 2023",71
2024,3,"Kolpaçino 4 4'lük
 12 Ocak 2024",520
2024,3,"3391 Kilometre
 12 Ocak 2024",329
2024,3,"Rafadan Tayfa 4: Hayrimatör
 29 Aralık 2023",346
2024,3,"Atatürk 1881 - 1919 (2. Film)
 5 Ocak 2024",337
2024,3,"Mutluyuz
 29 Aralık 2023",236
2024,3,"Tay 2: Ebabil Takımı
 12 Ocak 2024",221
2024,3,"Yaşam Koçu
 12 Ocak 2024",161
2024,3,"Arıcı: Ölüm Kovanı
 12 Ocak 2024",160
2024,3,"Ölümlü Dünya 2
 1 Aralık 2023",75
2024,3,"Nefes - Yer Eksi İki
 15 Aralık 2023",83
2024,4,"Lohusa
 19 Ocak 2024",605
2024,4,"Kolpaçino 4 4'lük
 12 Ocak 2024",535
2024,4,"Rafadan Tayfa 4: Hayrimatör
 29 Aralık 2023",345
2024,4,"3391 Kilometre
 12 Ocak 2024",352
2024,4,"Kardeş Takımı
 19 Ocak 2024",248
2024,4,"Atatürk 1881 - 1919 (2. Film)
 5 Ocak 2024",230
2024,4,"Ördeklerin Göçü
 19 Ocak 2024",150
2024,4,"Afacanlar Kampta
 19 Ocak 2024",160
2024,4,"Mutluyuz
 29 Aralık 2023",128
2024,4,"Arıcı: Ölüm Kovanı
 12 Ocak 2024",73
2024,5,"Lohusa
 19 Ocak 2024",561
