Year,Week,Movie,Viewers
2022,1,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",509
2022,1,"Örümcek-Adam: Eve Dönüş Yok
 17 Aralık 2021",642
2022,1,"The Matrix Resurrections
 24 Aralık 2021",472
2022,1,"Aykut Enişte 2
 3 Aralık 2021",259
2022,1,"Dayı: Bir Adamın Hikâyesi
 10 Aralık 2021",199
2022,1,"Maşa ile Koca Ayı 4
 17 Aralık 2021",196
2022,1,"Enkanto: Sihirli Dünya
 26 Kasım 2021",107
2022,1,"Kaptan Sabertooth ve Minik Korsanlar Kayıp Elmas Peşinde
 31 Aralık 2021",157
2022,1,"Seans
 31 Aralık 2021",68
2022,1,"Louis Wain'in Renkli Dünyası
 31 Aralık 2021",46
2022,2,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",484
2022,2,"Aslan Hürkuş Kayıp Elmas
 7 Ocak 2022",319
2022,2,"Örümcek-Adam: Eve Dönüş Yok
 17 Aralık 2021",464
2022,2,"Aykut Enişte 2
 3 Aralık 2021",214
2022,2,"The Matrix Resurrections
 24 Aralık 2021",319
2022,2,"The King's Man: Başlangıç
 7 Ocak 2022",316
2022,2,"Dayı: Bir Adamın Hikâyesi
 10 Aralık 2021",114
2022,2,"Nalan
 7 Ocak 2022",179
2022,2,"Enkanto: Sihirli Dünya
 26 Kasım 2021",59
2022,2,"Maşa ile Koca Ayı 4
 17 Aralık 2021",83
2022,3,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",457
2022,3,"Aslan Hürkuş Kayıp Elmas
 7 Ocak 2022",345
2022,3,"Örümcek-Adam: Eve Dönüş Yok
 17 Aralık 2021",347
2022,3,"Benden Ne Olur?
 14 Ocak 2022",321
2022,3,"Çığlık
 14 Ocak 2022",198
2022,3,"Karlar Kralı Norm 2
 14 Ocak 2022",215
2022,3,"Aykut Enişte 2
 3 Aralık 2021",122
2022,3,"The Matrix Resurrections
 24 Aralık 2021",186
2022,3,"Düş Peşine
 14 Ocak 2022",143
2022,3,"The King's Man: Başlangıç
 7 Ocak 2022",187
2022,4,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",431
2022,4,"Aslan Hürkuş Kayıp Elmas
 7 Ocak 2022",352
2022,4,"Örümcek-Adam: Eve Dönüş Yok
 17 Aralık 2021",316
2022,4,"Benden Ne Olur?
 14 Ocak 2022",294
2022,4,"Şarkını Söyle 2
 21 Ocak 2022",286
2022,4,"Çığlık
 14 Ocak 2022",172
2022,4,"Masal Zamanı ""Melez Prenses""
 21 Ocak 2022",161
2022,4,"Aykut Enişte 2
 3 Aralık 2021",72
2022,4,"Koloni
 21 Ocak 2022",123
2022,4,"Cumali Ceber 666
 21 Ocak 2022",147
2022,5,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",401
2022,5,"Aslan Hürkuş Kayıp Elmas
 7 Ocak 2022",340
2022,5,"Kaptan Pengu ve Arkadaşları 2
 28 Ocak 2022",306
2022,5,"Anka
 28 Ocak 2022",263
2022,5,"Örümcek-Adam: Eve Dönüş Yok
 17 Aralık 2021",263
2022,5,"Şarkını Söyle 2
 21 Ocak 2022",277
2022,5,"Benden Ne Olur?
 14 Ocak 2022",268
2022,5,"Çığlık
 14 Ocak 2022",164
2022,5,"Ayı Kardeşler: Macera Parkı
 28 Ocak 2022",171
2022,5,"Aykut Enişte 2
 3 Aralık 2021",45
2022,6,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",330
2022,6,"Dilberay
 4 Şubat 2022",407
2022,6,"Aslan Hürkuş Kayıp Elmas
 7 Ocak 2022",295
2022,6,"Kaptan Pengu ve Arkadaşları 2
 28 Ocak 2022",317
2022,6,"Moonfall
 4 Şubat 2022",253
2022,6,"Afacanlar: İş Başa Düştü
 4 Şubat 2022",169
2022,6,"Şarkını Söyle 2
 21 Ocak 2022",245
2022,6,"Örümcek-Adam: Eve Dönüş Yok
 17 Aralık 2021",239
2022,6,"Benden Ne Olur?
 14 Ocak 2022",190
2022,6,"Anka
 28 Ocak 2022",132
2022,7,"Dilberay
 4 Şubat 2022",349
2022,7,"Uncharted
 11 Şubat 2022",308
2022,7,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",303
2022,7,"Aslan Hürkuş Kayıp Elmas
 7 Ocak 2022",266
2022,7,"Kaptan Pengu ve Arkadaşları 2
 28 Ocak 2022",292
2022,7,"Afacanlar: İş Başa Düştü
 4 Şubat 2022",160
2022,7,"Malazgirt 1071
 11 Şubat 2022",302
2022,7,"Moonfall
 4 Şubat 2022",233
2022,7,"Örümcek-Adam: Eve Dönüş Yok
 17 Aralık 2021",159
2022,7,"Şarkını Söyle 2
 21 Ocak 2022",155
2022,8,"Uncharted
 11 Şubat 2022",322
2022,8,"Dilberay
 4 Şubat 2022",338
2022,8,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",270
2022,8,"Mahlûkat
 18 Şubat 2022",312
2022,8,"Olmadı Kaçarız
 18 Şubat 2022",154
2022,8,"Aslan Hürkuş Kayıp Elmas
 7 Ocak 2022",232
2022,8,"Kaptan Pengu ve Arkadaşları 2
 28 Ocak 2022",241
2022,8,"Afacanlar: İş Başa Düştü
 4 Şubat 2022",133
2022,8,"Samsam
 18 Şubat 2022",192
2022,8,"Moonfall
 4 Şubat 2022",130
2022,9,"Uncharted
 11 Şubat 2022",323
2022,9,"Dilberay
 4 Şubat 2022",335
2022,9,"Mutlu Canavar Ailesi 2
 25 Şubat 2022",284
2022,9,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",253
2022,9,"Mahlûkat
 18 Şubat 2022",282
2022,9,"Aslan Hürkuş Kayıp Elmas
 7 Ocak 2022",199
2022,9,"Afacanlar: İş Başa Düştü
 4 Şubat 2022",118
2022,9,"Kaptan Pengu ve Arkadaşları 2
 28 Ocak 2022",161
2022,9,"Sadece Bir Gece
 25 Şubat 2022",186
2022,9,"Gizli Gerçek
 25 Şubat 2022",121
2022,10,"Bergen
 4 Mart 2022",1100
2022,10,"The Batman
 4 Mart 2022",828
2022,10,"Mutlu Canavar Ailesi 2
 25 Şubat 2022",258
2022,10,"Uncharted
 11 Şubat 2022",208
2022,10,"Dilberay
 4 Şubat 2022",191
2022,10,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",124
2022,10,"Aslan Hürkuş Kayıp Elmas
 7 Ocak 2022",91
2022,10,"Mahlûkat
 18 Şubat 2022",110
2022,10,"Afacanlar: İş Başa Düştü
 4 Şubat 2022",40
2022,10,"Malazgirt 1071
 11 Şubat 2022",37
2022,11,"Bergen
 4 Mart 2022",1200
2022,11,"The Batman
 4 Mart 2022",645
2022,11,"Kırmızı
 11 Mart 2022",297
2022,11,"Adanış Kutsal Kavga
 11 Mart 2022",182
2022,11,"İlk Seans: NMSM
 11 Mart 2022",250
2022,11,"Uncharted
 11 Şubat 2022",43
2022,11,"Mutlu Canavar Ailesi 2
 25 Şubat 2022",122
2022,11,"Dilberay
 4 Şubat 2022",31
2022,11,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",47
2022,11,"Malazgirt 1071
 11 Şubat 2022",29
2022,12,"Bergen
 4 Mart 2022",1214
2022,12,"Kırmızı
 11 Mart 2022",291
2022,12,"The Batman
 4 Mart 2022",460
2022,12,"Adanış Kutsal Kavga
 11 Mart 2022",180
2022,12,"Neşeli Kanatlar: Büyük Göç
 18 Mart 2022",175
2022,12,"Ambulans
 18 Mart 2022",154
2022,12,"Orman Vatandır - Çanakkale Ruhu
 18 Mart 2022",103
2022,12,"İlk Seans: NMSM
 11 Mart 2022",184
2022,12,"Malazgirt 1071
 11 Şubat 2022",19
2022,12,"Dilberay
 4 Şubat 2022",19
2022,13,"Bergen
 4 Mart 2022",1104
2022,13,"Kırmızı
 11 Mart 2022",297
2022,13,"The Batman
 4 Mart 2022",352
2022,13,"Adanış Kutsal Kavga
 11 Mart 2022",131
2022,13,"Kayıp Şehir
 25 Mart 2022",165
2022,13,"Kocaayak ve Ailesi
 25 Mart 2022",208
2022,13,"Araf 5: Aile
 25 Mart 2022",212
2022,13,"Neşeli Kanatlar: Büyük Göç
 18 Mart 2022",145
2022,13,"Ambulans
 18 Mart 2022",115
2022,13,"Şans Tanrıçası
 25 Mart 2022",94
2022,14,"Bergen
 4 Mart 2022",815
2022,14,"Morbius
 1 Nisan 2022",556
2022,14,"Doru Macera Ormanı
 1 Nisan 2022",305
2022,14,"Kırmızı
 11 Mart 2022",284
2022,14,"Adanış Kutsal Kavga
 11 Mart 2022",72
2022,14,"The Batman
 4 Mart 2022",239
2022,14,"Kayıp Şehir
 25 Mart 2022",149
2022,14,"Kocaayak ve Ailesi
 25 Mart 2022",122
2022,14,"İblis: Karanlığın Sahibi
 1 Nisan 2022",119
2022,14,"Kesişme - İyi ki Varsın Eren
 1 Ocak 2022",28
2022,15,"Kirpi Sonic 2
 8 Nisan 2022",304
2022,15,"Bergen
 4 Mart 2022",575
2022,15,"Doru Macera Ormanı
 1 Nisan 2022",324
2022,15,"Morbius
 1 Nisan 2022",358
2022,15,"Kendinden Kaçak
 8 Nisan 2022",265
2022,15,"Adanış Kutsal Kavga
 11 Mart 2022",39
2022,15,"Kırmızı
 11 Mart 2022",145
2022,15,"Düşler Fabrikası
 8 Nisan 2022",179
2022,15,"The Batman
 4 Mart 2022",123
2022,15,"Şeytanın Kitabı
 8 Nisan 2022",135
2022,16,"Fantastik Canavarlar: Dumbledore'un Sırları
 15 Nisan 2022",611
2022,16,"Kirpi Sonic 2
 8 Nisan 2022",325
2022,16,"Doru Macera Ormanı
 1 Nisan 2022",293
2022,16,"Bergen
 4 Mart 2022",340
2022,16,"Adanış Kutsal Kavga
 11 Mart 2022",30
2022,16,"Morbius
 1 Nisan 2022",236
2022,16,"Kırmızı
 11 Mart 2022",65
2022,16,"Kendinden Kaçak
 8 Nisan 2022",172
2022,16,"Troll: Kuyruklu Macera
 15 Nisan 2022",165
2022,16,"Zalo
 15 Nisan 2022",196
2022,17,"Fantastik Canavarlar: Dumbledore'un Sırları
 15 Nisan 2022",507
2022,17,"Kirpi Sonic 2
 8 Nisan 2022",371
2022,17,"Cesur İtfaiyeci
 22 Nisan 2022",286
2022,17,"Bergen
 4 Mart 2022",275
2022,17,"Kuzeyli
 22 Nisan 2022",167
2022,17,"Doru Macera Ormanı
 1 Nisan 2022",262
2022,17,"Adanış Kutsal Kavga
 11 Mart 2022",24
2022,17,"Hüddam'ın Soyu: Marid Cinleri
 22 Nisan 2022",126
